image,variation,short_caption_bn,long_desc_bn,logic_bn,poetic_bn,visual_tags_en,context_tags_en,authenticity,safety,scene_details,color_details
1182.jpg,2,গ্রামাঞ্চলে একটি ঐতিহ্যবাহী হাডুডু বা কাবাডি খেলার দৃশ্য।,একটি ধুলোবালি ঘেরা খোলা মাঠে তীব্র প্রতিদ্বন্দ্বিতাপূর্ণ কাবাডি ম্যাচ চলছে। খেলোয়াড়রা বিভিন্ন রঙের পোশাকে সজ্জিত এবং চারপাশের বাঁশের বেড়ার বাইরে বিপুল সংখ্যক উৎসুক দর্শক খেলাটি উপভোগ করছেন।,গ্রামীণ বিনোদন এবং শারীরিক কসরত প্রদর্শনের জন্য এই প্রতিযোগিতামূলক খেলার আয়োজন করা হয়েছে।,মাটির সোঁদা গন্ধে আর তারুণ্যের উদ্দীপনায় মুখরিত এক উৎসবমুখর গ্রামীণ সন্ধ্যা।,"Kabaddi players, dirt ground, bamboo fence, spectators, sports jersey, night lighting, rural setting","Traditional sport, rural life, community gathering, physical competition, outdoor event, Bangladesh",Real,Safe. A sports event with a public gathering.,"Night, outdoor field, artificial lighting","Orange, blue, yellow, white, brown"
1182.jpg,3,রাতে একটি গ্রামীণ কাবাডি প্রতিযোগিতার দৃশ্য।,"ছবিতে একদল যুবককে মাটির মাঠে কাবাডি খেলতে দেখা যাচ্ছে, যেখানে উৎসুক জনতা বাঁশের বেষ্টনীর ওপাশ থেকে খেলা দেখছেন এবং কৃত্রিম আলোয় পুরো প্রাঙ্গণটি বেশ উজ্জ্বল হয়ে আছে।",এটি গ্রামীণ বাংলার একটি অত্যন্ত জনপ্রিয় খেলা যা সাধারণত উৎসব বা মেলার সময় আয়োজিত হয়।,মাটির টানে আর প্রাণের স্পন্দনে মিলেমিশে একাকার হয়ে যাওয়া বাংলার এক চিরচেনা উৎসবমুখর মুহূর্ত।,"Men, Kabaddi, Crowd, Sand, Bamboo fence, T-shirts, Shorts","Ha-du-du, Village fair, Night tournament, Rural culture, Sportsmanship, Bangladesh",Real,Safe,"Outdoor, Rural sports ground, Night, Artificial lighting","Brown, Orange, White, Blue, Black"
1182.jpg,4,গ্রামবাংলার ঐতিহ্যবাহী কাবাডি খেলার একটি রোমাঞ্চকর দৃশ্য।,"রাতে আলোকিত এক পল্লী পরিবেশে কিছু যুবককে ঐতিহ্যবাহী কাবাডি খেলতে দেখা যাচ্ছে, যেখানে অনেক উৎসাহী দর্শক বাঁশের বেড়ার ওপাশ থেকে তীব্র প্রতিদ্বন্দ্বিতাপূর্ণ এই খেলাটি গভীর মনোযোগের সাথে উপভোগ করছেন।",উৎসব বা বিনোদনের অংশ হিসেবে গ্রামে এ ধরনের ক্রীড়া প্রতিযোগিতার আয়োজন করা হয়।,মাটির গন্ধে আর ঘামের ছোঁয়ায় বাংলার প্রাচীন এই খেলা আজ প্রাণ ফিরে পেয়েছে।,"players, spectators, bamboo fence, dirt ground, kabaddi, night sky, jerseys, shorts","traditional sport, rural lifestyle, community gathering, competition, entertainment, South Asia, village fair",Real,Safe,"Outdoor, rural field at night, artificial lighting","Earthy tones, orange, blue, white, multi-color clothing."
1182.jpg,5,একটি গ্রামীণ কাবাডি প্রতিযোগিতার উত্তেজনাকর দৃশ্য।,রাতের আলোয় গ্রামীণ মেলায় আয়োজিত কাবাডি ম্যাচে খেলোয়াড়রা মুখোমুখি দাঁড়িয়েছেন। বাঁশের বেড়ার ওপাশে বিপুল সংখ্যক দর্শক গভীর মনোযোগ ও আগ্রহের সাথে এই ঐতিহ্যবাহী খেলাটি সরাসরি উপভোগ করছেন।,গ্রামীণ ঐতিহ্য ও বিনোদনের অংশ হিসেবে এই কাবাডি প্রতিযোগিতার আয়োজন করা হয়েছে।,মাটির ধুলোয় মিশে থাকা লড়াই আর হাজারো চোখের প্রত্যাশায় রাতটি মুখরিত।,"Kabaddi, players, crowd, bamboo fence, dirt ground, sports jersey, spectators, night lights","Traditional sport, rural festival, competition, community gathering, South Asian culture, outdoor game",Real,Safe. A public sporting event without any harmful content.,"Night, outdoor rural field, artificial floodlight lighting","Brown, white, blue, orange, yellow, dark background"
1184.jpg,1,গ্রামীণ পরিবেশে একটি ঐতিহ্যবাহী কুস্তি বা বলি খেলা অনুষ্ঠিত হচ্ছে।,ছবিতে দেখা যাচ্ছে একদল মানুষ কাদার মাঠে গোল হয়ে দাঁড়িয়ে ঐতিহ্যবাহী কুস্তি খেলা উপভোগ করছেন। মাঝখানে এক বলিষ্ঠ ব্যক্তি খেলার প্রস্তুতি নিচ্ছেন এবং চারপাশে উৎসুক জনতা তাকে গভীর মনোযোগে দেখছে।,গ্রামীণ বাংলার লোকজ সংস্কৃতি ও বিনোদনের অংশ হিসেবে এই কুস্তি প্রতিযোগিতার আয়োজন করা হয়েছে।,মাটির সোঁদা গন্ধে আর পেশির লড়াইয়ে ফুটে উঠেছে বাংলার অদম্য প্রাণশক্তি ও শাশ্বত ঐতিহ্য।,"Wrestling, Mud, Crowd, Men, Rural, Muscles, Traditional attire, Spectators","Village life, Sports, Culture, Boli Khela, Traditional games, Community gathering, Strength",Real,Safe (Traditional sports event),"Daytime, Outdoor, Muddy field, Natural lighting","Brown, Blue, Red, Skin tones, Green"
1184.jpg,2,গ্রামীণ পরিবেশে একটি ঐতিহ্যবাহী কুস্তি বা কবাডি খেলার দৃশ্য।,একটি কর্দমাক্ত খোলা মাঠে একদল মানুষ গোল হয়ে দাঁড়িয়ে ঐতিহ্যবাহী খেলা দেখছে। মাঠের মাঝখানে একজন খালি গায়ে কুস্তিগীর প্রস্তুত অবস্থায় আছেন এবং দর্শকরা তাকে নিবিড়ভাবে পর্যবেক্ষণ করছেন।,গ্রামীণ উৎসবে বা মেলায় আয়োজিত প্রচলিত শারীরিক শক্তি প্রদর্শনের একটি প্রতিযোগিতা।,মাটির সোঁদা গন্ধে মাখা গ্রামীণ বীরত্বের এক জীবন্ত এবং রোমাঞ্চকর মুহূর্ত।,"People, mud, field, shirtless man, crowd, rural setting, traditional clothing, soil","Traditional sport, wrestling, Kabaddi, village life, competition, gathering, cultural event",Real,Safe,"Daytime, outdoor village field, natural daylight","Brown, Blue, Red, Green, Skin tones"
1184.jpg,3,গ্রামাঞ্চলে কাদা মাটিতে ঐতিহ্যবাহী কুস্তি বা বলি খেলার একটি দৃশ্য।,গ্রামের একটি উন্মুক্ত কর্দমাক্ত স্থানে একদল মানুষ গোল হয়ে দাঁড়িয়ে ঐতিহ্যবাহী কুস্তি প্রতিযোগিতা দেখছেন। কেন্দ্রে একজন খালি গায়ে পেশীবহুল ব্যক্তি যুদ্ধের প্রস্তুতি নিচ্ছেন এবং দর্শকবৃন্দ কৌতূহলী হয়ে তা পর্যবেক্ষণ করছেন।,এটি গ্রামীণ বাংলার একটি জনপ্রিয় বিনোদনমূলক ঐতিহ্যবাহী কুস্তি খেলার দৃশ্য।,কাদা মাটির ঘ্রাণ আর পেশীর শক্তিতে ফুটে উঠেছে গ্রাম্য জীবনের আদিম আনন্দ।,"People, Mud, Wrestling, Rural area, Audience, Traditional sports, Shirtless man","Village life, Boli Khela, Traditional wrestling, Community gathering, Strength, Sport, Culture",Real,Safe,"Outdoor, rural setting, daylight, muddy ground","Brown, Blue, Red, Green, Skin tones"
1184.jpg,4,কাদা মাটিতে গ্রামীণ কুস্তি বা বলি খেলার একটি দৃশ্য।,ছবিতে একটি কাদাভর্তি মাঠে একদল মানুষের উপস্থিতিতে দুইজন ব্যক্তিকে কুস্তি বা কোনো ঐতিহ্যবাহী গ্রামীণ খেলায় মত্ত থাকতে দেখা যাচ্ছে। চারপাশের উৎসুক দর্শকরা গভীর মনোযোগের সাথে এই প্রতিযোগিতাটি উপভোগ করছেন।,এটি একটি গ্রামীণ মেলা বা লোকজ উৎসবের অংশ হিসেবে আয়োজিত কুস্তি প্রতিযোগিতা।,কাদার ভাঁজে মিশে আছে মাটির ঘ্রাণ আর বাংলার সাহসের শাশ্বত এক আখ্যান।,"People, Mud, Wrestling, Shirtless man, Spectators, Rural area, Soil, Traditional game","Boli Khela, Rural sport, Cultural heritage, Community gathering, Strength, Competition, Bangladesh, Tradition",Real,Safe,"Outdoor, Daytime, Natural light, Muddy environment, Rural village","Brown, Blue, Red, White, Green, Skin tones"
1184.jpg,5,গ্রামবাংলার ঐতিহ্যবাহী বলী খেলা বা কুস্তি প্রতিযোগিতার একটি দৃশ্য।,একটি কাদাভরা মাঠে খালি গায়ে দুজন কুস্তিগীর যুদ্ধের জন্য প্রস্তুত হচ্ছেন। চারপাশে উৎসুক গ্রামবাসীরা গোল হয়ে দাঁড়িয়ে মনোযোগ দিয়ে এই রোমাঞ্চকর ঐতিহ্যবাহী গ্রামীণ খেলাটি উপভোগ করছেন এবং উৎসাহ দিচ্ছেন।,গ্রামীণ উৎসব বা বিনোদনের অংশ হিসেবে আয়োজিত একটি ঐতিহ্যবাহী কুস্তি খেলা।,মাটির সোঁদা গন্ধে মিশে আছে গ্রামীণ শৌর্য আর শক্তির লড়াইয়ের আদিম উত্তাপ।,"People, Wrestling ring, Mud, Barefoot, T-shirts, Shorts, Crowd, Spectators","Traditional Sports, Rural Bangladesh, Boli Khela, Local Festival, Strength, Physical Activity, Community Gathering",Real,Safe. It is a depiction of a traditional cultural sporting event.,"Daytime, Outdoor rural field, Natural daylight","Brown, Blue, Red, White, Skin tones"
1186.jpg,1,একটি গ্রামীণ পরিবেশে একদল যুবক কাবাডি খেলায় মগ্ন।,ছবিতে গ্রামীণ প্রেক্ষাপটে একদল সুঠামদেহী যুবককে কাবাডি খেলতে দেখা যাচ্ছে। পেছনে উৎসুক জনতা দাঁড়িয়ে খেলা উপভোগ করছে এবং চারপাশে অসংখ্য নারকেল গাছ ও টালির ঘর রয়েছে।,এটি একটি ঐতিহ্যবাহী গ্রামীণ ক্রীড়া অনুষ্ঠান যা স্থানীয় সংস্কৃতির এক অবিচ্ছেদ্য অংশ।,মাটির সোঁদা গন্ধে আর পেশির লড়াইয়ে গ্রাম্য জীবন এক অনন্য প্রাণবন্ত রূপ পেয়েছে।,"Kabaddi, players, crowd, coconut trees, village, dirt ground, muscular men, shorts, spectators","rural sports, traditional game, South Asia, community gathering, physical strength, competition, outdoor activity",Fake(Ai Generated),Safe,"Outdoor, village field, daytime, natural warm sunlight.","Earthy brown, green, white, blue, maroon."
1186.jpg,2,একটি গ্রামীণ পরিবেশে একদল শক্তিশালী যুবক অত্যন্ত উৎসাহের সাথে কাবাডি খেলায় মগ্ন।,"ছবিতে দেখা যাচ্ছে বালুময় মাঠে খালি গায়ে একদল যুবক কাবাডি খেলছে, যেখানে গ্রামের প্রচুর মানুষ তাদের ঘিরে দাঁড়িয়ে দেখছে। পেছনে নারিকেল গাছ এবং মাটির ঘরগুলো একটি সুন্দর গ্রামীণ আবহ তৈরি করেছে।",গ্রামীণ জনপদে ঐতিহ্যবাহী খেলাধুলা এবং সম্প্রদায়ের মানুষের একত্রিত হওয়ার চিত্র এটি।,ধুলোবালি আর ঘামের মিশেলে মাটির টান এবং বীরত্বের এক অপূর্ব মেলবন্ধন এখানে দৃশ্যমান।,"Men, Kabaddi, Crowd, Palm trees, Sand, Muscles, Village, Sports, Shorts","Rural life, Traditional sport, South Asian culture, Strength, Community, Outdoor",Fake(Ai Generated),Safe,"Day, Outdoor rural field, Natural daylight","Earthy brown, Green, Sun-kissed skin tones"
1186.jpg,3,গ্রামীণ পরিবেশে একদল যুবকের কাবাডি খেলার একটি দৃশ্য।,"ছবির সম্মুখভাগে একদল পেশীবহুল যুবককে ধুলোমাখা মাঠে কাবাডি খেলতে দেখা যাচ্ছে, যেখানে অসংখ্য গ্রামবাসী পুরুষ গোল হয়ে দাঁড়িয়ে গভীর মনোযোগের সাথে এই ঐতিহ্যবাহী খেলাটি উপভোগ করছেন।",ঐতিহ্যবাহী গ্রামীণ ক্রীড়া অনুষ্ঠান যা সামাজিক ঐক্য ও শারীরিক শক্তিমত্তার পরিচয় ফুটিয়ে তোলে।,মাটির সোঁদা গন্ধে আর ঘামের বিন্দুতে মিলেমিশে একাকার হওয়া এক আদিম বীরত্বের কাব্য।,"Kabaddi, men, muscular, crowd, palm trees, rural village, dirt field, shorts, traditional houses","sports, tradition, South India, local culture, community gathering, physical strength, outdoor activity",Fake(Ai Generated),Safe,"Outdoor, rural village, daytime, natural sunlight","Brown, green, earthy tones, various shirt colors."
1186.jpg,4,একদল যুবক গ্রামীণ পরিবেশে উৎসাহের সাথে কাবাডি খেলছে।,একটি মনোরম গ্রামীণ পরিবেশে একদল খালি গায়ের শক্তিশালী যুবক অত্যন্ত উদ্দীপনার সাথে কাবাডি খেলছে। প্রচুর গ্রামবাসী দর্শক হিসেবে চারপাশে ভিড় করে আছেন এবং নারিকেল গাছ ঘেরা পরিবেশটি বেশ চমৎকার লাগছে।,এটি একটি গ্রামীণ ক্রীড়া উৎসব যা সামাজিক বন্ধন ও শারীরিক সক্ষমতা প্রদর্শনের জন্য আয়োজিত হয়েছে।,মাটির সোঁদা গন্ধে এবং ঘামের বিন্দুতে মিশে আছে এক অদম্য সাহসিকতার শাশ্বত গল্প।,"Men, Kabaddi, Sports, Audience, Trees, Houses, Sand, Muscles, Village","Rural Life, Traditional Sport, Community Gathering, South Asian Culture, Physical Strength, Outdoor Activity",Fake(Ai Generated),Safe,"Outdoor, Rural Village, Day-time, Soft Sunlight","Earthy Brown, Green, Skin Tone, White, Blue"
1186.jpg,5,একদল যুবক গ্রামীণ পরিবেশে কাবাডি খেলছে।,"একটি গ্রামীণ খোলা মাঠে একদল পেশীবহুল যুবক কাবাডি খেলায় মত্ত। চারপাশে প্রচুর গ্রামবাসী উৎসাহ নিয়ে খেলা দেখছে, এবং পটভূমিতে নারিকেল গাছ ও মাটির ঘর দেখা যাচ্ছে।",এটি একটি ঐতিহ্যবাহী গ্রামীণ ক্রীড়া প্রতিযোগিতা যা সামাজিক মিলনমেলার প্রতীক।,মাটির ঘ্রাণ আর ঘামের নেশায় মেতেছে বাংলার চিরচেনা দুরন্ত যৌবন।,"Men, Kabaddi, Dirt ground, Spectators, Palm trees, Rural village, Muscle","Traditional sport, South Asia, Village life, Physical strength, Competition",Fake(Ai Generated),Safe,"Outdoor, village ground, golden hour lighting","Earthy brown, green, white, tan"
1187.jpg,1,কবাডি খেলায় খেলোয়াড়দের তীব্র প্রতিদ্বন্দ্বিতার একটি দৃশ্য।,"রোদেলা মাঠে হলুদ ও লাল জার্সি পরা খেলোয়াড়রা কবাডি খেলায় একে অপরকে আঁকড়ে ধরে জেতার চেষ্টা করছেন, পেছনে সাদা ও রঙিন পতাকার সজ্জা এবং মাঠের ঘাস দেখা যাচ্ছে।",এটি একটি ঐতিহ্যবাহী কবাডি ম্যাচ যেখানে শারীরিক শক্তি ও কৌশল প্রদর্শিত হচ্ছে।,ঘাম আর মাটির ঘ্রাণে মিশে আছে অদম্য জেদ ও সাহসিকতার গল্প।,"players, jersey, field, flags, competition, kabaddi, grass, sunlight","traditional sport, physical contact, outdoor activity, teamwork, strength, competition",Real,Safe,"Outdoor, daytime, natural bright light","Yellow, red, green, white, brown"
1187.jpg,2,মাঠে কাবাডি বা কুস্তি খেলার একটি তীব্র মুহূর্ত।,ছবিতে দেখা যাচ্ছে উজ্জ্বল সূর্যের আলোয় একটি ঘাসের মাঠে লাল এবং হলুদ জার্সি পরা খেলোয়াড়রা একে অপরের সাথে শারীরিক লড়াইয়ে লিপ্ত হয়ে খেলার তীব্রতা প্রদর্শন করছে।,এটি একটি ঐতিহ্যবাহী গ্রামীণ ক্রীড়া প্রতিযোগিতা যেখানে খেলোয়াড়রা জেতার জন্য লড়াই করছে।,মাঠের ধূলো আর ঘামের মাঝে লুকিয়ে আছে শক্তির এক অনন্য মহাকাব্য।,"Players, Yellow Jersey, Red Jersey, Grassy Field, Flags, Sports, Wrestling, Struggle, Sunlight","Kabaddi Match, Rural Sports, Physical Strength, Competition, Outdoor Activity, Traditional Game",Real,Safe (The image depicts a sports match without any harmful content.),"Daytime, Outdoor Field, Bright Natural Sunlight","Yellow, Red, Green, Brown, White"
1187.jpg,3,একটি কাবাডি ম্যাচের তীব্র মুহূর্ত।,ছবিতে লাল এবং হলুদ জার্সি পরা খেলোয়াড়দের একটি রোমাঞ্চকর ম্যাচে শারীরিক কসরত করতে দেখা যাচ্ছে। তাদের চোখে মুখে জেতার আকাঙ্ক্ষা এবং শক্তির লড়াই অত্যন্ত প্রাণবন্তভাবে ফুটে উঠেছে।,এটি একটি শারীরিক শক্তির খেলা যা সাধারণত খোলা মাঠে প্রতিযোগিতার জন্য আয়োজিত হয়।,মাটির গন্ধ মাখা এই লড়াইয়ে শক্তির জয়গান আর ঘামের বিন্দুগুলো যেন একেকটি গল্প বলে।,"Men, Wrestling, Yellow jersey, Red shorts, Knee pads, Grass, Flags, Sport","Kabaddi, Traditional, Competition, Athletics, Strength, Outdoor, Action",Real,Safe,"Outdoor, sunny day, grassy field","Yellow, Red, Brown, Green"
1187.jpg,4,মাঠে কাবাডি বা কুস্তি খেলার এক উত্তেজনাকর মুহূর্ত।,একটি খোলা মাঠে হলুদ ও লাল জার্সি পরা খেলোয়াড়রা একে অপরকে জাপটে ধরে লড়াই করছে। তাদের চোখেমুখে জয়ের দৃঢ় আকাঙ্ক্ষা এবং শারীরিক শক্তির বহিঃপ্রকাশ স্পষ্টভাবে ফুটে উঠেছে এই দৃশ্যটিতে।,প্রতিযোগিতামূলক শারীরিক শক্তি প্রদর্শনের জন্য এটি একটি ঐতিহ্যবাহী গ্রামীণ ক্রীড়া প্রতিযোগিতা।,ধুলোবালি আর ঘামের ঘ্রাণে মিশে আছে অদম্য সাহসের এক মহাকাব্যিক লড়াই।,"Players, yellow jersey, red jersey, field, grappling, wrestling, grass, knee pads, bunting flags","Sports, Kabaddi, traditional games, physical strength, competition, teamwork, outdoor activity, athletic",Real,"Safe (Sports-related physical contact, no harmful content)","Daylight, outdoor field, natural sun lighting","Yellow, red, green, brown, white"
1187.jpg,5,মাঠের মধ্যে দুই খেলোয়াড় কাবাডি বা কুস্তি জাতীয় কোনো খেলায় লিপ্ত।,একটি রোদেলা দিনে মাঠের মধ্যে হলুদ এবং লাল পোশাক পরা দুইজন খেলোয়াড় একে অপরকে জড়িয়ে ধরে শক্তি প্রদর্শন করছে। তাদের আশেপাশে আরও খেলোয়াড় এবং রঙিন পতাকা দেখা যাচ্ছে।,এটি একটি গ্রামীণ বা ঐতিহ্যবাহী ক্রীড়া প্রতিযোগিতার দৃশ্য যেখানে শারীরিক শক্তির পরীক্ষা হচ্ছে।,ঘামের বিন্দুতে মিশে আছে জয়ের নেশা আর পেশির দৃঢ়তায় ফুটে ওঠে অদম্য লড়াই।,"Sports, Players, Yellow jersey, Red jersey, Field, Flags, Wrestling, Kabaddi","Athletic competition, Strength contest, Traditional sports, Rural games",Real,Safe,"Daytime, Outdoor field, Natural sunlight","Yellow, Red, Green, Brown, White"
1188.jpg,1,একটি রোমাঞ্চকর কাবাডি খেলার মুহূর্ত যেখানে লাল ও হলুদ দলের খেলোয়াড়রা প্রতিদ্বন্দ্বিতা করছে।,রোদেলা মাঠে লাল এবং হলুদ জার্সি পরিহিত দুটি দল কাবাডি খেলছে। মাঝখানে একজন হলুদ খেলোয়াড়কে লাল দলের খেলোয়াড়রা ধরার চেষ্টা করছে এবং পেছনে রেফারি ও সবুজ গাছপালা দেখা যাচ্ছে।,এটি একটি প্রতিযোগিতামূলক ক্রীড়া অনুষ্ঠান যা শারীরিক শক্তি এবং কৌশলের বহিঃপ্রকাশ।,ঘাসের বুকে ঘাম আর সাহসের এক অনন্য লড়াই ফুটে উঠেছে এই চিত্রে।,"Kabaddi, players, red jersey, yellow jersey, grass field, referee, trees, sports banner, outdoor, sports","traditional sport, competition, teamwork, physical activity, match, tournament, south asian culture",Real,Safe (Sporting event without any harmful content),"Outdoor, grassy field, bright daylight, sports event setting","Red, Yellow, Green, White, Earthy brown"
1188.jpg,2,মাঠে কাবাডি খেলার একটি উত্তেজনাপূর্ণ মুহূর্ত।,একটি রোদেলা দিনে খোলা মাঠে লাল ও হলুদ জার্সি পরিহিত খেলোয়াড়রা কাবাডি খেলায় লিপ্ত। আক্রমণ ও প্রতিরোধের এই দৃশ্যটি প্রতিযোগিতামূলক ক্রীড়া উদ্দীপনা এবং শারীরিক সক্ষমতার এক চমৎকার উদাহরণ তুলে ধরেছে।,মাঠের সাদা দাগ এবং রেফারির উপস্থিতি একটি সুশৃঙ্খল এবং প্রতিযোগিতামূলক টুর্নামেন্টকে নির্দেশ করে।,রোদের প্রখরতায় ঘাস আর ঘামের গন্ধে মেতে উঠেছে তারুণ্যের এক হার না মানা লড়াই।,"Kabaddi players, red jersey, yellow jersey, grassy field, referee, trees, banner, sports action","traditional sports, team competition, physical activity, outdoor match, athletic event, tournament",Real,Safe,"Outdoor, sports field, bright daylight","Red, yellow, green, brown, white"
1188.jpg,3,একটি খোলা মাঠে একদল পুরুষ কাবাডি খেলছে।,ছবিতে লাল ও হলুদ জার্সি পরা দুই দলকে একটি ঘাসের মাঠে কাবাডি খেলতে দেখা যাচ্ছে। খেলোয়াড়রা একে অপরকে আটকানোর চেষ্টা করছে এবং ব্যাকগ্রাউন্ডে গাছপালা ও রেফারি দৃশ্যমান।,এটি একটি প্রাতিষ্ঠানিক ক্রীড়া প্রতিযোগিতার দৃশ্য যেখানে খেলোয়াড়রা কাবাডি খেলায় লিপ্ত।,ধুলোমাখা মাঠে ঘামের বিন্দু আর অদম্য জেদ মিলেমিশে এক অদ্ভূত লড়াইয়ের ছন্দ তৈরি করেছে।,"Kabaddi, players, red jersey, yellow jersey, grass field, referee, trees, sports","outdoor sports, traditional game, team spirit, physical activity, South Asian culture, tournament",Real,Safe,"Outdoor, daytime, natural sunlight, sports field","Red, yellow, green, white, brown"
1188.jpg,4,একটি গ্রামীণ মাঠে কাবাডি প্রতিযোগিতার উত্তেজনাকর দৃশ্য।,"লাল ও হলুদ জার্সি পরা দুই দলের খেলোয়াড়রা উন্মুক্ত মাঠে কাবাডি খেলছে। সাদা দাগ কাটা কোর্টে খেলোয়াড়দের শারীরিক কসরত ও প্রতিযোগিতার তীব্রতা ফুটে উঠেছে, পাশে রেফারি খেলাটি তদারকি করছেন।",শারীরিক শক্তি ও কৌশলের সমন্বয়ে একটি ঐতিহ্যবাহী গ্রামীণ ক্রীড়া প্রতিযোগিতার আয়োজন করা হয়েছে।,রোদেলা দুপুরে মাটির ধুলোয় মিশে গেছে হার না মানা প্রাণশক্তির এক অপূর্ব লড়াই।,"Players, Red jersey, Yellow jersey, Referee, Kabaddi court, Trees, Banner, Grass field","Outdoor sports, Traditional game, Kabaddi match, Competition, Teamwork, Physical exertion",Real,Safe. A regular sports activity in an open field.,"Daytime, Outdoor sports field, Bright natural sunlight.","Red, Yellow, Green, White, Brown."
1188.jpg,5,কবাডি খেলার একটি দৃশ্য যেখানে লাল ও হলুদ জার্সি পরা খেলোয়াড়রা প্রতিদ্বন্দ্বিতা করছে।,একটি খোলা মাঠে লাল ও হলুদ জার্সি পরা খেলোয়াড়দের মধ্যে কবাডি খেলা চলছে। একজন রেফারি ম্যাচটি তদারকি করছেন এবং পটভূমিতে গাছপালা ও চ্যাম্পিয়নস লেখা একটি ব্যানার দেখা যাচ্ছে।,এটি একটি বহিরঙ্গন ক্রীড়া প্রতিযোগিতা বা টুর্নামেন্টের দৃশ্য যা দিনের আলোতে অনুষ্ঠিত হচ্ছে।,মাটির টানে খেলোয়াড়দের তীব্র লড়াই এবং শক্তির এক জীবন্ত বহিঃপ্রকাশ।,"players, kabaddi, grass field, red jersey, yellow jersey, referee, trees, banner, sports, competition","traditional sports, outdoor game, teamwork, athletic, match, tournament, daytime, physical activity",Real,Safe,"Outdoor, grass field, bright daylight","Red, Yellow, Green, White"
1189.jpg,1,মাঠে দুইজন কুস্তিগীর বা কাবাডি খেলোয়াড় একে অপরের সাথে লড়াই করছেন।,একটি ধুলোবালি ভরা মাঠে লাল ও নীল হাফপ্যান্ট পরা দুই শক্তিশালী যুবক কুস্তি লড়ছেন। আশেপাশে দর্শক ও খেলোয়াড়দের উপস্থিতি একটি ঐতিহ্যবাহী গ্রামীণ ক্রীড়া উৎসবের আমেজ ফুটিয়ে তুলেছে।,এটি একটি ঐতিহ্যবাহী কাবাডি বা কুস্তি প্রতিযোগিতার মুহূর্ত যেখানে শক্তির লড়াই চলছে।,মাটির টানে পেশীবহুল দেহের এই লড়াই যেন সাহসিকতা ও বীরত্বের এক জীবন্ত প্রতিচ্ছবি।,"Wrestlers, red shorts, blue shorts, dirt ground, spectators, tattoo, knee pad, banner, muscles","Kabaddi match, traditional sport, physical strength, outdoor competition, rural festival, athletic struggle, grapple",Real,Safe. It depicts a standard athletic competition with no harmful content.,"Daytime, outdoor sports field, natural sunlight.","Red, blue, brown, skin tones, white."
1189.jpg,2,দুইজন শক্তিশালী কুস্তিগীর একটি উন্মুক্ত মাঠে কুস্তি লড়ছে।,একটি রৌদ্রোজ্জ্বল দিনে মাটির আখড়ায় দুইজন খালি গায়ে কুস্তিগীরকে শারীরিক শক্তি প্রদর্শন করতে দেখা যাচ্ছে। তাদের মধ্যে একজন লাল এবং অন্যজন নীল হাফপ্যান্ট পরে একে অপরকে জাপটে ধরে লড়াই করছেন।,এটি একটি গ্রাম্য বা ঐতিহ্যবাহী কুস্তি টুর্নামেন্ট যেখানে খেলোয়াড়রা তাদের দক্ষতা ও শক্তি দেখাচ্ছেন।,মাটির সোঁদা গন্ধে আর শরীরের ঘামে লেখা হচ্ছে শক্তির এক মহাকাব্যিক লড়াই।,"wrestlers, muscular men, red shorts, blue shorts, dirt ground, tattoo, crowd, outdoor stadium, sports event","traditional wrestling, strength, competition, rural sport, South Asian culture, physical endurance",Real,Safe,"Outdoor, daytime, bright natural sunlight, dusty wrestling arena","Red, Blue, Tan, Earthy Brown, Skin tones"
1189.jpg,3,দুইজন কুস্তিগীরকে একটি খোলা মাঠে ঐতিহ্যগত কুস্তি বা কাবাডি খেলতে দেখা যাচ্ছে।,লাল ও নীল হাফপ্যান্ট পরা দুইজন শক্তিশালী যুবক বালুময় মাঠে তীব্র প্রতিযোগিতায় মত্ত। তাদের পেশিবহুল শরীর এবং শারীরিক কসরত একটি গ্রামীণ ক্রীড়া উৎসবের প্রাণবন্ত দৃশ্য ফুটিয়ে তুলেছে।,"এটি একটি ঐতিহ্যবাহী গ্রামীণ ক্রীড়া প্রতিযোগিতা, যা সাধারণত দক্ষিণ এশিয়ার উৎসবগুলোতে দেখা যায়।",ধুলোবালির প্রান্তরে পেশির আস্ফালন আর শক্তির লড়াই যেন এক জীবন্ত মহাকাব্যিক দৃশ্য।,"Wrestlers, red shorts, blue shorts, muscular men, dirt field, tattoo, crowd, outdoor, athlete, sports","Kabaddi, traditional sports, wrestling match, rural festival, physical strength, competition, South Asia, athletic event",Real,Safe (Sports activity with no harmful content),"Daytime, Outdoor, Sandy field, Natural sunlight","Red, blue, brown, skin tones, white"
